# Moho depth
# POINTS: 2001
418500 4842.5
418750 4841.25
419000 4840
419250 4838.75
419500 4837.5
419750 4836.25
420000 4835
420250 4833.77
420500 4832.55
420750 4831.33
421000 4830.1
421250 4828.9
421500 4827.7
421750 4826.5
422000 4825.3
422250 4824.13
422500 4822.95
422750 4821.78
423000 4820.6
423250 4819.43
423500 4818.25
423750 4817.07
424000 4815.9
424250 4814.77
424500 4813.65
424750 4812.52
425000 4811.4
425250 4810.27
425500 4809.15
425750 4808.02
426000 4806.9
426250 4805.8
426500 4804.7
426750 4803.6
427000 4802.5
427250 4801.4
427500 4800.3
427750 4799.2
428000 4798.1
428250 4797.03
428500 4795.95
428750 4794.88
429000 4793.8
429250 4792.73
429500 4791.65
429750 4790.57
430000 4789.5
430250 4788.48
430500 4787.45
430750 4786.42
431000 4785.4
431250 4784.35
431500 4783.3
431750 4782.25
432000 4781.2
432250 4780.2
432500 4779.2
432750 4778.2
433000 4777.2
433250 4776.2
433500 4775.2
433750 4774.2
434000 4773.2
434250 4772.2
434500 4771.2
434750 4770.2
435000 4769.2
435250 4768.22
435500 4767.25
435750 4766.28
436000 4765.3
436250 4764.33
436500 4763.35
436750 4762.38
437000 4761.4
437250 4760.45
437500 4759.5
437750 4758.55
438000 4757.6
438250 4756.65
438500 4755.7
438750 4754.75
439000 4753.8
439250 4752.85
439500 4751.9
439750 4750.95
440000 4750
440250 4749.07
440500 4748.15
440750 4747.23
441000 4746.3
441250 4745.38
441500 4744.45
441750 4743.53
442000 4742.6
442250 4741.68
442500 4740.75
442750 4739.82
443000 4738.9
443250 4737.97
443500 4737.05
443750 4736.13
444000 4735.2
444250 4734.27
444500 4733.35
444750 4732.43
445000 4731.5
445250 4730.6
445500 4729.7
445750 4728.8
446000 4727.9
446250 4727
